category,partner_sku,product_id,title,noon_sku,in_wf2_sku_table,noon_180d_sales,erp_180d_sales,diff_sales,noon_latest_price,erp_latest_price,diff_price,cost_price,erp_profit_rate,noon_cancel_count,noon_return_count
A_仅noon有销量,TBA0289A,TBA0289,手工玩具,ZEA040080D13E4DDEF1D9Z-1,Y,2,0,2,87.50,,,34.0,,0,0
A_仅noon有销量,TBA0292A,,,,N,3,0,3,108.50,,,,,0,0
A_仅noon有销量,TBA0293A,,,,N,1,0,1,75.50,,,,,0,0
C_销量数字差异,TBB0126A,TBB0126,婴儿床铃,ZC72EE80A11ED5861B6C6Z-1,Y,36,41,-5,77.73,77.00,+0.73,32.0,31.00,2,0
C_销量数字差异,TBB0278A,TBB0278,木质玩具,ZC1F6F19D1644AF61D78DZ-1,Y,40,45,-5,50.00,50.00,+0.00,7.95,49.00,0,1
D_价格差异,TBB0298A,TBB0298,早教玩具,Z97E03EA9E6D339BC1E79Z-1,Y,3,5,-2,68.14,61.00,+7.14,25.0,36.00,1,0
A_仅noon有销量,TBB0518A,TBB0518,围栏,Z027CAD1D81D7B4769AE7Z-1,Y,1,0,1,268.46,,,135.96,,0,0
C_销量数字差异,TBB0653A,TBB0653,婴幼儿玩具,Z697112C8B39B603FC2E2Z-1,Y,42,47,-5,52.80,52.00,+0.80,12.5,43.00,1,1
A_仅noon有销量,TBB0747B,TBB0747,婴幼儿视觉卡片,ZBE352001FD991BB0F019Z-1,Y,2,0,2,47.50,,,2.8,,0,0
A_仅noon有销量,TBB0747C,TBB0747,婴幼儿视觉卡片,ZC7FD98F116E5A6796811Z-1,Y,1,0,1,47.50,,,2.8,,0,0
A_仅noon有销量,TBB0747D,TBB0747,婴幼儿视觉卡片,Z62A20D39E352FC11B668Z-1,Y,2,0,2,52.37,,,2.8,,0,0
A_仅noon有销量,TBB0748A,TBB0748,婴幼儿牵绳玩具,Z4196D963ADF591C2A976Z-1,Y,1,0,1,80.50,,,22.4,,0,0
A_仅noon有销量,TBB0758A,TBB0758,浴缸玩具,Z8460913BCCB21D9711F0Z-1,Y,5,0,5,56.50,,,9.64,,0,0
A_仅noon有销量,TBB0759A,TBB0759,捏捏乐,Z1279077B3EB7A0DDF390Z-1,Y,1,0,1,57.50,,,12.0,,0,0
A_仅noon有销量,TBB0769A,,,,N,3,0,3,61.19,,,,,0,0
A_仅noon有销量,TBB0770A,,,,N,8,0,8,100.50,,,,,0,0
A_仅noon有销量,TBB0770B,,,,N,8,0,8,107.10,,,,,0,0
A_仅noon有销量,TBB0815A,,,,N,5,0,5,56.00,,,,,0,0
A_仅noon有销量,TBB0818A,,,,N,1,0,1,61.95,,,,,0,0
A_仅noon有销量,TBB0819A,,,,N,1,0,1,76.08,,,,,0,0
B_仅ERP有销量,TBD0051A,TBD0051,娱乐地垫,Z7E2BC43FA769608F2450Z-1,Y,0,1,-1,,107.00,,42.0,21.00,0,0
A_仅noon有销量,TBE0061A,TBE0061,人偶玩具,Z47D5B729796FC7683EA2Z-1,Y,12,0,12,47.50,,,18.5,,0,1
A_仅noon有销量,TBH0509A,,,,N,2,0,2,51.93,,,,,0,0
A_仅noon有销量,TBH0512A,,,,N,1,0,1,56.23,,,,,0,0
A_仅noon有销量,TBH0515A,,,,N,2,0,2,47.52,,,,,0,0
C_销量数字差异,TBJ0057A,TBJ0057,乐器,Z14A4B511629B1E3D4ED3Z-1,Y,71,77,-6,147.00,147.00,+0.00,50.0,31.00,4,6
D_价格差异,TBK0021A,TBK0021,亲子游戏、手动控制汽车互动游戏、模拟音乐避车游戏、益智游戏、儿童桌面对战游戏。,ZD574291F97FC165E7256Z-1,Y,6,6,0,77.00,66.00,+11.00,23.5,20.00,1,1
A_仅noon有销量,TBK0176A,TBK0176,遥控直升机,ZAF15931992841E99CC9BZ-1,Y,0,0,0,91.50,,,39.0,,1,0
C_销量数字差异,TBK0392A,TBK0392,遥控机器人,ZA32F8269DB26A02A45D5Z-1,Y,11,16,-5,104.50,104.00,+0.50,58.0,28.00,0,0
B_仅ERP有销量,TBK0497B,TBK0497,儿童化妆品,ZAA929A38ACD19A0E0141Z-1,Y,0,1,-1,,87.00,,39.0,31.00,0,0
B_仅ERP有销量,TBP0140A,TBP0140,装扮玩具,Z6CEB41A6F8CEECA087EEZ-1,Y,0,1,-1,,72.00,,53.0,0.00,0,0
D_价格差异,TBP0141A,TBP0141,装扮玩具,Z079BA7320ED4532CBB7CZ-1,Y,55,57,-2,124.90,153.00,-28.10,58.8,32.00,1,0
A_仅noon有销量,TBP0157A,TBP0157,玩具,Z1A646BF64E0893F31044Z-1,Y,10,0,10,124.95,,,39.0,,0,1
B_仅ERP有销量,TBP0170A,TBP0170,帐篷屋,ZD3F3897C3CF78C66C446Z-1,Y,0,1,-1,,71.00,,38.0,26.00,0,0
C_销量数字差异,TBP0222A,TBP0222,装扮套装,Z5B9F2730616599189CB7Z-1,Y,15,20,-5,97.00,97.00,+0.00,45.5,37.00,0,0
C_销量数字差异,TBP0260A,TBP0260,厨房玩具,Z11987CBCEF0E9118EDA2Z-1,Y,22,25,-3,314.90,314.00,+0.90,175.0,27.00,0,0
C_销量数字差异,TBP0273A,TBP0273,装扮套装,Z5B9F2730616599189CB7Z-4,Y,5,9,-4,85.45,85.00,+0.45,45.5,32.00,0,0
C_销量数字差异,TBP0310M,TBP0310,过家家装扮,Z4DC0F127D1F9DD938CCFZ-1,Y,3,7,-4,93.17,93.00,+0.17,40.0,37.00,0,0
B_仅ERP有销量,TBS0154A,TBS0154,水枪,Z6831FF6FAF0A1E30DED4Z-1,Y,0,1,-1,,61.00,,37.0,14.00,0,0
D_价格差异,TBS0230J,TBS0230,泳圈,Z0F0D3D1F0C280C25428CZ-1,Y,1,2,-1,42.50,54.00,-11.50,9.0,50.00,0,0
A_仅noon有销量,TBS0231A,TBS0231,玩具枪,Z5AA4A333B2A723681E61Z-1,Y,3,0,3,89.00,,,25.0,,0,0
A_仅noon有销量,TBS0231A-888,,,,N,18,0,18,79.50,,,,,0,2
C_销量数字差异,TBS0233A,TBS0233,玩具枪,ZB9C415CF63B702C61ED6Z-1,Y,20,23,-3,99.23,99.00,+0.23,28.5,43.00,4,2
B_仅ERP有销量,TBS0369A,TBS0369,体育运动,Z52539B77DC2B99DBB678Z-1,Y,0,1,-1,,77.00,,32.9,30.00,0,0
B_仅ERP有销量,TBS0445K,TBS0445,滑轮鞋,Z9A453ECB1EEB52E91D43Z-1,Y,0,1,-1,,120.00,,70.0,27.00,0,0
A_仅noon有销量,TBS0612A,,,,N,4,0,4,65.05,,,,,0,0
A_仅noon有销量,TBS0631A,,,,N,1,0,1,87.00,,,,,0,0
A_仅noon有销量,TBS0632A,,,,N,1,0,1,60.90,,,,,0,0
C_销量数字差异,TBU0010A,TBU0010,掌上游戏机,Z500F2B86221ACB2C00DCZ-1,Y,24,27,-3,76.40,76.00,+0.40,48.0,35.00,0,2
B_仅ERP有销量,TBW0232A,TBW0232,装扮服,Z9E49AEB5D3A8286DD53CZ-1,Y,0,1,-1,,71.00,,38.0,31.00,0,0
A_仅noon有销量,TBW0412A,,,,N,4,0,4,58.50,,,,,0,0
